Batch,Para1,Para2,Para3,Para4,Para5
1.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,1.0
7.0,0.0,0.0,0.0,0.0,1.0
8.0,0.0,0.0,0.0,0.0,1.0
9.0,0.0,0.0,1.0,0.0,2.0
10.0,0.0,0.0,1.0,0.0,3.0
11.0,0.0,0.0,1.0,0.0,3.0
12.0,0.0,0.0,1.0,0.0,3.0
13.0,0.0,0.0,1.0,0.0,3.0
14.0,0.0,0.0,1.0,0.0,3.0
15.0,0.0,0.0,1.0,0.0,3.0
16.0,0.0,0.0,1.0,0.0,3.0
17.0,0.0,0.0,1.0,0.0,3.0
18.0,0.0,0.0,1.0,0.0,4.0
19.0,0.0,0.0,1.0,0.0,4.0
20.0,0.0,0.0,1.0,0.0,4.0
21.0,0.0,0.0,1.0,0.0,4.0
22.0,0.0,0.0,2.0,0.0,4.0
23.0,1.0,0.0,2.0,0.0,4.0
24.0,1.0,0.0,2.0,0.0,4.0
25.0,1.0,0.0,2.0,0.0,4.0
26.0,1.0,0.0,2.0,0.0,4.0
27.0,1.0,0.0,2.0,0.0,5.0
28.0,1.0,0.0,2.0,0.0,5.0
29.0,1.0,0.0,2.0,0.0,5.0
30.0,1.0,0.0,2.0,0.0,5.0
31.0,1.0,0.0,2.0,0.0,5.0
32.0,1.0,0.0,2.0,0.0,5.0
33.0,1.0,0.0,2.0,0.0,5.0
34.0,1.0,0.0,2.0,0.0,5.0
35.0,1.0,0.0,2.0,0.0,5.0
36.0,1.0,0.0,3.0,0.0,5.0
37.0,1.0,0.0,3.0,0.0,5.0
38.0,1.0,0.0,3.0,0.0,5.0
39.0,1.0,0.0,3.0,0.0,5.0
40.0,1.0,0.0,3.0,0.0,5.0
41.0,1.0,0.0,3.0,0.0,5.0
42.0,1.0,0.0,4.0,0.0,5.0
43.0,1.0,0.0,4.0,0.0,5.0
44.0,1.0,0.0,4.0,0.0,5.0
45.0,1.0,0.0,4.0,0.0,5.0
