Batch,Para1,Para2,Para3,Para4,Para5
1,0.429,0.43025,49512,308.75,810
2,0.421,0.433,47101,306.75,824
3,0.417,0.4285,60023,311.75,765
4,0.421,0.43775,55428,322.75,933
5,0.421,0.41725,46442,312.5,686
6,0.425,0.44075,45539,309.25,1400
7,0.421,0.42275,51492,311.75,864
8,0.425,0.43175,47661,301,858
9,0.427,0.44225,70638,304.25,252
10,0.421,0.42875,45944,339.75,255
11,0.421,0.43925,56955,330.25,968
12,0.417,0.4245,37616,314,473
13,0.421,0.43175,47953,321.25,840
14,0.427,0.4295,51891,331.75,1034
15,0.425,0.43025,42608,306,784
16,0.425,0.44275,60625,316,796
17,0.427,0.4275,42359,295.5,746
18,0.421,0.43925,46554,307.25,1245
19,0.421,0.44575,49564,315,728
20,0.421,0.4425,47824,318.5,870
21,0.421,0.43,48516,305.5,842
22,0.425,0.42675,75703,306,654
23,0.433,0.439,53064,314,1003
24,0.421,0.4215,51152,304,740
25,0.421,0.42675,45172,314.5,821
26,0.421,0.4275,49898,297.5,620
27,0.421,0.43825,43420,315.25,200
28,0.421,0.4575,49625,318.5,729
29,0.417,0.427,48163,314.25,700
30,0.421,0.431,46619,310,870
31,0.4213,0.43125,48532,305.75,595
32,0.425,0.443,53965,316.25,943
33,0.421,0.42975,49753,318.5,929
34,0.425,0.4305,48741,305.5,831
35,0.421,0.44325,54110,310.25,936
36,0.421,0.45425,66539,329.25,952
37,0.433,0.4405,49898,304,961
38,0.417,0.4345,44963,315.75,742
39,0.421,0.4385,47454,311.5,794
40,0.421,0.449,45574,326.75,901
41,0.421,0.4485,47744,311.5,852
42,0.419,0.4345,73536,307,749
43,0.421,0.42775,47069,304.75,962
44,0.421,0.4385,48274,312.75,662
45,0.425,0.424,45622,298.5,733
46,0.421,0.4345,49046,311.5,707
47,0.433,0.451,55492,320.5,900
48,0.421,0.43725,47582,310.25,898
49,0.421,0.43125,48387,312.5,915
50,0.425,0.432,50200,339.75,892
