,Batch_Num,Metric1,Thickness1,Thickness2,Metric2,Metric3,Metric4,Metric5,Metric6,Yield1,Width1,Length1,Metric7,Metric8,Metric9,Yield2,Width2,Length2,Metric10
0,1,3030.93,2564.0,2187.7333,1411.1265,1.3602,97.6133,0.1242,1.5005,0.9455,202.4396,64.2333,7.9558,414.871,10.0433,0.968,192.3963,64.2588,12.519
1,2,3095.78,2465.14,2230.4222,1463.6606,0.8294,102.3433,0.1247,1.4966,0.9627,200.547,68.4222,10.1548,414.7347,9.2599,0.9701,191.2872,64.2828,12.4608
2,3,2932.61,2559.94,2186.4111,1698.0172,1.5102,95.4878,0.1241,1.4436,0.9615,202.0179,67.1333,9.5157,416.7075,9.3144,0.9674,192.7035,64.1114,12.5404
3,4,2988.72,2479.9,2199.0333,909.7926,1.3204,104.2367,0.1217,1.4882,0.9629,201.8482,62.9333,9.6052,422.2894,9.6924,0.9687,192.1557,64.1125,12.4782
4,5,3032.24,2502.87,2233.3667,1326.52,1.5334,100.3967,0.1235,1.5031,0.9569,201.9424,62.8333,10.5661,420.5925,10.3387,0.9735,191.6037,64.1511,12.4735
5,6,2946.25,2432.84,2233.3667,1326.52,1.5334,100.3967,0.1235,1.5287,0.9699,200.472,62.3778,8.6617,414.2426,9.2441,0.9747,191.22799999999998,64.072,12.4935
6,7,3030.27,2430.12,2230.4222,1463.6606,0.8294,102.3433,0.1247,1.5816,0.9591,202.0901,60.8,9.035,415.8852,9.999,0.9667,192.0912,64.2476,12.4608
7,8,3058.88,2690.15,2248.9,1004.4692,0.7884,106.24,0.1185,1.5153,0.9481,202.417,67.3,13.6872,408.4017,9.6836,0.9687,192.7334,64.4021,12.5263
8,9,2967.68,2600.47,2248.9,1004.4692,0.7884,106.24,0.1185,1.5358,0.9494,202.4544,62.8,12.6837,417.6009,9.7046,0.9693,192.7498,63.9315,12.5263
9,10,3016.11,2428.37,2248.9,1004.4692,0.7884,106.24,0.1185,1.5381,0.9440000000000001,202.5999,67.0333,12.4278,413.3677,9.7046,0.9667,192.8953,64.4021,12.5263
10,11,2994.05,2548.21,2195.1222,1046.1468,1.3204,103.34,0.1223,1.5144,0.9433,201.7125,68.7111,11.8566,411.9572,10.2918,0.9664,191.4207,64.1114,12.4663
11,12,2928.84,2479.4,2196.2111,1605.7578,0.9959,97.9156,0.1257,1.469,0.9445,202.1264,64.7667,9.1084,419.9018,10.113,0.9673,192.0134,63.9315,12.5263
12,13,2920.07,2507.4,2195.1222,1046.1468,1.3204,103.34,0.1223,1.531,0.9595,202.1269,63.3778,8.4828,415.5185,9.5007,0.9666,192.6261,64.1125,12.4186
13,14,3051.44,2529.27,2184.4333,877.6266,1.4668,107.8711,0.124,1.5236,0.9441,226.0086,67.9889,9.7686,409.8885,10.4109,0.9516,215.5977,64.202,10.7029
14,15,2963.97,2629.48,2224.6222,947.7739,1.2924,104.8489,0.1197,1.4474,0.9582,195.3787,62.5,9.7561,422.3675,9.7825,0.9692,185.5963,64.2199,12.4582
15,16,2988.31,2546.26,2224.6222,947.7739,1.2924,104.8489,0.1197,1.5465,0.9616,192.9787,61.2333,12.4364,424.7536,9.5917,0.9706,183.3869,64.2199,12.4622
16,17,3028.02,2560.87,2270.2556,1258.4558,1.395,104.8078,0.1207,1.4368,0.9623,195.1742,63.3556,12.1805,428.9826,9.1999,0.9673,185.9743,64.0917,12.4761
17,18,3032.73,2517.79,2270.2556,1258.4558,1.395,104.8078,0.1207,1.5537,0.9613,195.3425,60.2444,10.0002,420.4726,9.4147,0.9692,185.9278,63.8294,12.4761
18,19,3040.34,2501.16,2207.3889,962.5317,1.2043,104.0311,0.121,1.5481,0.9634,196.2746,66.2,8.4061,409.1399,9.847000000000001,0.9701,186.4275,64.1999,12.5222
19,20,2988.3,2519.05,2208.8556,1157.7224,1.5509,107.8022,0.1233,1.5362,0.9614,197.1793,65.0778,13.3419,404.5667,10.1924,0.9697,186.9869,64.1125,12.5635
22,23,3002.27,2497.45,2207.3889,962.5317,1.2043,104.0311,0.121,1.5465,0.9491,199.6394,66.3556,15.4346,418.2477,10.3647,0.9706,189.2748,64.1999,12.4761
23,24,2884.74,2514.54,2160.3667,899.9488,1.4022,105.4978,0.124,1.5585,0.9638,196.1842,62.5,11.6229,434.7942,8.8407,0.9696,187.3435,64.2199,12.4761
24,25,3010.41,2632.8,2203.9,1116.4129,1.2639,102.2733,0.1199,1.4227,0.9765,199.0177,64.6778,4.704,406.7425,9.5066,0.9802,189.5111,64.3732,12.5784
25,26,2979.74,2446.56,2257.1667,1437.9565,1.4918,106.34,0.1203,1.5136,0.958,205.9919,67.0333,10.6611,413.1526,9.747,0.9559,196.2449,64.3976,12.4222
